"athlete_id","date","game_workload"
1,2016-05-05,402
1,2016-05-08,365
1,2016-05-11,457
1,2016-05-16,405
1,2016-05-20,407
1,2016-05-24,484
1,2016-05-31,388
1,2016-06-01,327
1,2016-06-28,363
1,2016-07-26,477
1,2016-07-28,395
1,2016-08-12,370
1,2016-08-15,420
1,2016-08-19,379
1,2016-08-22,420
1,2016-08-26,360
1,2016-09-03,368
1,2016-09-16,338
1,2016-11-05,393
1,2016-11-06,439
1,2016-11-09,402
1,2016-11-11,356
1,2016-11-18,349
1,2016-12-06,388
1,2016-12-08,360
1,2016-12-16,317
1,2017-01-03,371
1,2017-01-04,392
1,2017-01-16,397
1,2017-01-19,506
1,2017-02-01,390
1,2017-02-21,458
1,2017-03-23,459
1,2017-03-26,465
1,2017-04-05,394
1,2017-04-12,374
1,2017-04-17,391
1,2017-04-20,456
1,2017-04-21,398
1,2017-04-24,353
1,2017-05-11,437
1,2017-05-15,342
1,2017-05-21,406
1,2017-05-26,373
1,2017-06-04,371
1,2017-06-05,385
1,2017-06-21,293
1,2017-07-05,449
1,2017-07-08,475
1,2017-07-18,416
1,2017-08-04,500
1,2017-08-28,293
1,2017-09-03,500
1,2017-09-08,398
1,2017-09-21,356
1,2017-10-11,428
1,2017-10-13,480
1,2017-10-28,418
1,2017-11-13,378
1,2017-11-19,398
1,2017-11-24,388
1,2017-11-26,466
1,2017-12-09,449
1,2017-12-10,349
1,2017-12-14,495
1,2017-12-25,427
1,2018-01-04,402
1,2018-01-09,410
1,2018-01-27,485
1,2018-02-16,470
1,2018-02-26,379
1,2018-03-16,397
1,2018-03-22,401
1,2018-04-19,396
1,2018-04-21,395
2,2016-05-04,348
2,2016-05-08,350
2,2016-05-11,298
2,2016-05-17,368
2,2016-05-20,386
2,2016-05-27,357
2,2016-06-30,403
2,2016-07-15,393
2,2016-07-28,438
2,2016-08-02,474
2,2016-08-12,394
2,2016-08-19,400
2,2016-08-31,381
2,2016-09-04,476
2,2016-09-21,448
2,2016-10-03,426
2,2016-11-02,429
2,2016-11-09,416
2,2016-11-10,488
2,2016-11-13,468
2,2016-11-21,374
2,2016-11-27,299
2,2016-12-09,351
2,2016-12-10,373
2,2016-12-12,336
2,2017-01-02,341
2,2017-01-13,369
2,2017-01-14,361
2,2017-02-10,409
2,2017-02-22,381
2,2017-03-16,444
2,2017-04-02,377
2,2017-04-04,393
2,2017-04-12,402
2,2017-05-02,378
2,2017-05-06,347
2,2017-05-10,390
2,2017-05-14,435
2,2017-05-22,418
2,2017-06-05,406
2,2017-06-18,387
2,2017-06-23,402
2,2017-06-26,368
2,2017-07-07,360
2,2017-07-10,307
2,2017-07-13,482
2,2017-07-14,424
2,2017-07-23,427
2,2017-07-27,430
2,2017-08-05,457
2,2017-08-12,353
2,2017-08-14,320
2,2017-08-19,390
2,2017-08-20,409
2,2017-08-25,400
2,2017-09-02,407
2,2017-09-07,425
2,2017-09-09,406
2,2017-09-18,300
2,2017-09-29,358
2,2017-10-11,363
2,2017-10-12,384
2,2017-10-22,408
2,2017-11-21,452
2,2017-12-16,414
2,2018-01-06,388
2,2018-02-07,253
2,2018-02-20,434
2,2018-02-22,420
2,2018-03-10,402
2,2018-03-25,416
2,2018-03-28,359
2,2018-03-29,288
2,2018-04-27,336
3,2016-05-01,457
3,2016-05-07,317
3,2016-05-12,465
3,2016-05-14,457
3,2016-05-16,347
3,2016-05-18,486
3,2016-05-21,468
3,2016-05-23,366
3,2016-05-25,340
3,2016-06-02,368
3,2016-06-06,368
3,2016-06-11,467
3,2016-06-21,340
3,2016-06-28,361
3,2016-07-13,375
3,2016-07-29,453
3,2016-07-30,398
3,2016-08-08,305
3,2016-08-13,388
3,2016-08-26,363
3,2016-09-22,365
3,2016-09-28,334
3,2016-09-29,452
3,2016-10-01,360
3,2016-10-02,385
3,2016-10-03,424
3,2016-10-12,383
3,2016-10-20,425
3,2016-11-01,455
3,2016-11-18,479
3,2016-11-19,353
3,2016-11-24,362
3,2016-12-04,383
3,2016-12-09,453
3,2016-12-21,405
